DATE,NASDAQCOM
11/26/2014,4787.32
11/27/2014,.
11/28/2014,4791.63
12/1/2014,4727.35
12/2/2014,4755.81
12/3/2014,4774.47
12/4/2014,4769.44
12/5/2014,4780.76
12/8/2014,4740.69
12/9/2014,4766.47
12/10/2014,4684.03
12/11/2014,4708.16
12/12/2014,4653.6
12/15/2014,4605.16
12/16/2014,4547.83
12/17/2014,4644.31
12/18/2014,4748.4
12/19/2014,4765.38
12/22/2014,4781.42
12/23/2014,4765.42
12/24/2014,4773.47
12/25/2014,.
12/26/2014,4806.86
12/29/2014,4806.91
12/30/2014,4777.44
12/31/2014,4736.05
1/1/2015,.
1/2/2015,4726.81
1/5/2015,4652.57
1/6/2015,4592.74
1/7/2015,4650.47
1/8/2015,4736.19
1/9/2015,4704.07
1/12/2015,4664.71
1/13/2015,4661.5
1/14/2015,4639.32
1/15/2015,4570.82
1/16/2015,4634.38
1/19/2015,.
1/20/2015,4654.85
1/21/2015,4667.42
1/22/2015,4750.4
1/23/2015,4757.88
1/26/2015,4771.76
1/27/2015,4681.5
1/28/2015,4637.99
1/29/2015,4683.41
1/30/2015,4635.24
2/2/2015,4676.69
2/3/2015,4727.74
2/4/2015,4716.7
2/5/2015,4765.1
2/6/2015,4744.4
2/9/2015,4726.01
2/10/2015,4787.64
2/11/2015,4801.18
2/12/2015,4857.61
2/13/2015,4893.84
2/16/2015,.
2/17/2015,4899.27
2/18/2015,4906.36
2/19/2015,4924.7
2/20/2015,4955.97
2/23/2015,4960.97
2/24/2015,4968.12
2/25/2015,4967.14
2/26/2015,4987.89
2/27/2015,4963.53
3/2/2015,5008.1
3/3/2015,4979.9
3/4/2015,4967.14
3/5/2015,4982.81
3/6/2015,4927.37
3/9/2015,4942.44
3/10/2015,4859.79
3/11/2015,4849.94
3/12/2015,4893.29
3/13/2015,4871.76
3/16/2015,4929.51
3/17/2015,4937.43
3/18/2015,4982.83
3/19/2015,4992.38
3/20/2015,5026.42
3/23/2015,5010.97
3/24/2015,4994.73
3/25/2015,4876.52
3/26/2015,4863.36
3/27/2015,4891.22
3/30/2015,4947.44
3/31/2015,4900.89
4/1/2015,4880.23
4/2/2015,4886.94
4/3/2015,.
4/6/2015,4917.32
4/7/2015,4910.23
4/8/2015,4950.82
4/9/2015,4974.56
4/10/2015,4995.98
4/13/2015,4988.25
4/14/2015,4977.29
4/15/2015,5011.02
4/16/2015,5007.79
4/17/2015,4931.81
4/20/2015,4994.6
4/21/2015,5014.1
4/22/2015,5035.17
4/23/2015,5056.06
4/24/2015,5092.08
4/27/2015,5060.25
4/28/2015,5055.42
4/29/2015,5023.64
4/30/2015,4941.42
5/1/2015,5005.39
5/4/2015,5016.93
5/5/2015,4939.33
5/6/2015,4919.64
5/7/2015,4945.54
5/8/2015,5003.55
5/11/2015,4993.57
5/12/2015,4976.19
5/13/2015,4981.69
5/14/2015,5050.8
5/15/2015,5048.29
5/18/2015,5078.44
5/19/2015,5070.03
5/20/2015,5071.74
5/21/2015,5090.79
5/22/2015,5089.36
5/25/2015,.
5/26/2015,5032.75
5/27/2015,5106.59
5/28/2015,5097.98
5/29/2015,5070.03
6/1/2015,5082.93
6/2/2015,5076.52
6/3/2015,5099.23
6/4/2015,5059.12
6/5/2015,5068.46
6/8/2015,5021.63
6/9/2015,5013.87
6/10/2015,5076.69
6/11/2015,5082.51
6/12/2015,5051.1
6/15/2015,5029.97
6/16/2015,5055.55
6/17/2015,5064.88
6/18/2015,5132.95
6/19/2015,5117
6/22/2015,5153.97
6/23/2015,5160.09
6/24/2015,5122.41
6/25/2015,5112.19
6/26/2015,5080.51
6/29/2015,4958.47
6/30/2015,4986.87
7/1/2015,5013.12
7/2/2015,5009.21
7/3/2015,.
7/6/2015,4991.94
7/7/2015,4997.46
7/8/2015,4909.76
7/9/2015,4922.4
7/10/2015,4997.7
7/13/2015,5071.51
7/14/2015,5104.89
7/15/2015,5098.94
7/16/2015,5163.18
7/17/2015,5210.14
7/20/2015,5218.86
7/21/2015,5208.12
7/22/2015,5171.77
7/23/2015,5146.41
7/24/2015,5088.63
7/27/2015,5039.78
7/28/2015,5089.21
7/29/2015,5111.73
7/30/2015,5128.78
7/31/2015,5128.28
8/3/2015,5115.38
8/4/2015,5105.55
8/5/2015,5139.94
8/6/2015,5056.44
8/7/2015,5043.54
8/10/2015,5101.8
8/11/2015,5036.79
8/12/2015,5044.39
8/13/2015,5033.56
8/14/2015,5048.24
8/17/2015,5091.7
8/18/2015,5059.35
8/19/2015,5019.05
8/20/2015,4877.49
8/21/2015,4706.04
8/24/2015,4526.25
8/25/2015,4506.49
8/26/2015,4697.54
8/27/2015,4812.71
8/28/2015,4828.32
8/31/2015,4776.51
9/1/2015,4636.11
9/2/2015,4749.98
9/3/2015,4733.5
9/4/2015,4683.92
9/7/2015,.
9/8/2015,4811.93
9/9/2015,4756.53
9/10/2015,4796.25
9/11/2015,4822.34
9/14/2015,4805.76
9/15/2015,4860.52
9/16/2015,4889.24
9/17/2015,4893.95
9/18/2015,4827.23
9/21/2015,4828.95
9/22/2015,4756.72
9/23/2015,4752.74
9/24/2015,4734.48
9/25/2015,4686.5
9/28/2015,4543.97
9/29/2015,4517.32
9/30/2015,4620.16
10/1/2015,4627.08
10/2/2015,4707.78
10/5/2015,4781.26
10/6/2015,4748.36
10/7/2015,4791.15
10/8/2015,4810.79
10/9/2015,4830.47
10/12/2015,4838.64
10/13/2015,4796.61
10/14/2015,4782.85
10/15/2015,4870.1
10/16/2015,4886.69
10/19/2015,4905.47
10/20/2015,4880.97
10/21/2015,4840.12
10/22/2015,4920.05
10/23/2015,5031.86
10/26/2015,5034.7
10/27/2015,5030.15
10/28/2015,5095.69
10/29/2015,5074.27
10/30/2015,5053.75
11/2/2015,5127.15
11/3/2015,5145.13
11/4/2015,5142.48
11/5/2015,5127.74
11/6/2015,5147.12
11/9/2015,5095.3
11/10/2015,5083.24
11/11/2015,5067.02
11/12/2015,5005.08
11/13/2015,4927.88
11/16/2015,4984.62
11/17/2015,4986.01
11/18/2015,5075.2
11/19/2015,5073.64
11/20/2015,5104.92
11/23/2015,5102.48
11/24/2015,5102.81
11/25/2015,5116.14
11/26/2015,.
11/27/2015,5127.52
11/30/2015,5108.67
12/1/2015,5156.31
12/2/2015,5123.22
12/3/2015,5037.53
12/4/2015,5142.27
12/7/2015,5101.81
12/8/2015,5098.24
12/9/2015,5022.87
12/10/2015,5045.17
12/11/2015,4933.47
12/14/2015,4952.23
12/15/2015,4995.36
12/16/2015,5071.13
12/17/2015,5002.55
12/18/2015,4923.08
12/21/2015,4968.92
12/22/2015,5001.11
12/23/2015,5045.93
12/24/2015,5048.49
12/25/2015,.
12/28/2015,5040.99
12/29/2015,5107.94
12/30/2015,5065.85
12/31/2015,5007.41
